Item,Cost,Source
80mm Edf,84$,(aliexpress)https://www.aliexpress.com/item/33005297363.html?mp=1&pdp_npi=5%40dis%21PKR%21PKR%2032659.72%21PKR%2026453.78%21%21PKR%2025197.52%21%21%21%402101246417661293351643916e1ba3%2167064405256%21ct%21PK%216195667158%21%211%210
Sg-90 Servo(10),14$,(aliexpress)https://www.aliexpress.com/item/1005010072923650.html?mp=1&pdp_npi=5%40dis%21PKR%21PKR%2010162.82%21PKR%204776.55%21%21PKR%204776.55%21%21%21%402101246417661293351643916e1ba3%2112000051037310683%21ct%21PK%216195667158%21%211%210
22.2v 16000 mah lipo,112$,(aliexpress)https://www.aliexpress.com/item/1005006448018563.html?mp=1&pdp_npi=5%40dis%21PKR%21PKR%2035106.53%21PKR%2035106.53%21%21PKR%2035106.53%21%21%21%402101246417661293351643916e1ba3%2112000037205216704%21ct%21PK%216195667158%21%211%210
120A esc,45$,(aliexpress)https://www.aliexpress.com/item/1005006966316369.html?mp=1&pdp_npi=5%40dis%21PKR%21PKR%2028508.38%21PKR%2014254.19%21%21PKR%2014254.19%21%21%21%402101246417661293351643916e1ba3%2112000051644144030%21ct%21PK%216195667158%21%211%210
5mm depromn sheets,Pkr 750 (for1 sheet ),(ill buy it myself and use reimburshment )
3mm carbon fibre ,----,(ill buy it myself and use reimburshment )
Total(exlcuding lipo battery),143$,----
ESP32 devkit M1 (4),1000PKR(4),Electrobes physical shop
5v 1800mah (2) lipo for spotter board and sniper board,660Pkr(2),Electrobes(https://electrobes.com/product/700mah-3-7v-1s-rechargeable-lithium-ion-battery-li-ion-lithium-polymer-li-ion-lipo-battery/)
Total,

